Source;Ports;Target;Destination;Weight
240;Almoines;0;Genoa;123
241;Barcelona;0;Genoa;8776
242;Castellon de La Plana;0;Genoa;898
243;Las Palmas;0;Genoa;14946
244;Malaga;0;Genoa;0
245;Sagunto;0;Genoa;0
246;Santa Cruz de Tenerife;0;Genoa;46
247;Tarragona;0;Genoa;13
248;Tenerife;0;Genoa;29
249;Valencia;0;Genoa;16213
250;Norrkoping;0;Genoa;0
251;Vladivostok;0;Genoa;1
252;St. Petersburg ;0;Genoa;0
253;Arbatax;0;Genoa;0
254;Augusta;0;Genoa;0
255;Brindisi;0;Genoa;0
256;Cagliari;0;Genoa;2691
257;Catania;0;Genoa;151
258;Civitavecchia;0;Genoa;0
259;Corigliano Calabro;0;Genoa;0
260;Fiumicino;0;Genoa;0
261;Gaeta;0;Genoa;0
262;Gioia Tauro;0;Genoa;13783
263;La Spezia;0;Genoa;1738
264;Livorno;0;Genoa;734
265;Marina di Carrara;0;Genoa;0
266;Milazzo;0;Genoa;0
267;Napoli;0;Genoa;6714
268;Olbia;0;Genoa;0
269;Palermo;0;Genoa;68
270;Porto Empedocle;0;Genoa;0
271;Porto Foxi;0;Genoa;0
272;Porto Marghera;0;Genoa;0
273;Porto Torres;0;Genoa;0
274;Priolo;0;Genoa;0
275;Ravenna;0;Genoa;0
276;Salerno;0;Genoa;1760
277;Savona-Vado;0;Genoa;0
278;Taranto;0;Genoa;0
279;Trieste;0;Genoa;0
280;Vado Ligure;0;Genoa;0
281;Venezia;0;Genoa;0
282;Adelaide;0;Genoa;969
283;Fremantle ;0;Genoa;2287
284;Melbourne;0;Genoa;9657
285;Sydney;0;Genoa;9572
286;Auckland;0;Genoa;2
