ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
PAN	Panama	0.0000829748	0.0000706605	0.0000137803	0.0000903047	0.0004186853	0.0038719919	0.0000762019	0.0000000000	0.0000000000	0.0039481938
PER	Peru	0.0000016384	0.0000010700	0.0000000000	0.0000000000	0.0000037784	0.0000627913	0.0000000000	0.0000000000	0.0000000000	0.0000627913
PHL	Philippines	0.0000019219	0.0000016416	0.0000000000	0.0000000000	0.0000052052	0.0000610580	0.0000000000	0.0000000000	0.0000040040	0.0000650620
PRT	Portugal	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0001425628	0.0007025103	0.0000000000	0.0008450731
QAT	Qatar	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0111270195	0.0111270195
REU	Reunion	0.0000450481	0.0000000000	0.0000000000	0.0000000000	0.0000450481	0.0011018755	0.0000000000	0.0000000000	0.0000000000	0.0011018755
ROU	Romania	0.0000000000	0.0000000455	0.0000000000	0.0000000000	0.0000000911	0.0000015142	0.0000000000	0.0000000000	0.0015371179	0.0015386321
RUS	Russia	0.0000007534	0.0000000142	0.0000000355	0.0000064818	0.0000137809	0.0000520631	0.0000177514	0.0000430840	0.0334738952	0.0335867936
SAU	"Saudi Arabia"	0.0001399826	0.0001470555	0.0001010424	0.0001538953	0.0008429267	0.0072034161	0.0000267039	0.0000000000	0.0007761221	0.0080062422
SEN	Senegal	0.0000218287	0.0000047065	0.0000782261	0.0000832572	0.0002759823	0.0009876054	0.0001050672	0.0000000000	0.0015387172	0.0026313898
SLE	"Sierra Leone"	0.0000160131	0.0000036220	0.0000011438	0.0000005719	0.0000255448	0.0005117206	0.0000000000	0.0000000000	0.0000000000	0.0005117206
SGP	Singapore	0.0028791324	0.0027206578	0.0001040189	0.0005045661	0.0094335990	0.0957595538	0.0001554965	0.0074461787	0.0000000000	0.1033612291
SVN	Slovenia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010946687	0.0000000000	0.0000000000	0.0010946687
ZAF	"South Africa"	0.0000151224	0.0000068980	0.0000019184	0.0000062857	0.0000434082	0.0005846818	0.0010934751	0.0000712245	0.0000000000	0.0017493814
KOR	"South Korea"	0.0001485875	0.0001182298	0.0000000207	0.0000051629	0.0003953935	0.0048862629	0.0005185177	0.0000000000	0.0000000000	0.0054047807
ESP	Spain	0.0001968135	0.0001217693	0.0000258892	0.0002289384	0.0009241181	0.0085708996	0.0077269650	0.0015513710	0.0073476384	0.0251968740
LKA	"Sri Lanka"	0.0001020731	0.0000908711	0.0000011156	0.0000028354	0.0002906016	0.0032368222	0.0000000000	0.0000000000	0.0000000000	0.0032368222
VCT	"St Vincent"	0.0000095954	0.0000000000	0.0000000000	0.0000000000	0.0000095954	0.0000712936	0.0000000000	0.0000000000	0.0000000000	0.0000712936
SDN	Sudan	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000044000	0.0000000000	0.0000000000	0.0000044000
SUR	Suriname	0.0000020291	0.0000000000	0.0000000000	0.0000000000	0.0000020291	0.0000177546	0.0000000000	0.0000000000	0.0000000000	0.0000177546
SWE	Sweden	0.0000001046	0.0000000000	0.0000000000	0.0000000000	0.0000001046	0.0000005232	0.0041714573	0.0000000000	0.0000000000	0.0041719806
SYR	Syria	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0120926511	0.0120926511
TWN	Taiwan	0.0002428980	0.0003008598	0.0000000000	0.0000043679	0.0008533534	0.0085993666	0.0000977096	0.0000000000	0.0000000000	0.0086970761
TZA	Tanzania	0.0000177118	0.0000000477	0.0000106462	0.0000119113	0.0000522762	0.0004956938	0.0000008832	0.0000000000	0.0000000000	0.0004965770
THA	Thailand	0.0000278881	0.0000121330	0.0000000000	0.0000000000	0.0000521542	0.0007610969	0.0000000000	0.0000000000	0.0000000000	0.0007610969
TGO	Togo	0.0000039470	0.0000182170	0.0000197351	0.0000051615	0.0000704392	0.0007390456	0.0000000000	0.0000000000	0.0000000000	0.0007390456
TTO	Trinidad	0.0000016277	0.0000000000	0.0000000000	0.0000000000	0.0000016277	0.0000240337	0.0000000000	0.0000000000	0.0000000000	0.0000240337
TUN	Tunisia	0.0001733871	0.0000750777	0.0003664171	0.0004463112	0.0015825820	0.0082450622	0.0542444200	0.0078447260	0.0301907872	0.1005249955
TUR	Turkey	0.0000265796	0.0000514369	0.0000137910	0.0000473625	0.0002379694	0.0017535885	0.0001675968	0.0011120491	0.0262403450	0.0292735792
UKR	Ukraine	0.0000002642	0.0000008587	0.0000000000	0.0000000000	0.0000019817	0.0000347182	0.0001134725	0.0015935275	0.0055559548	0.0072976730
ARE	"United Arab Emirates"	0.0011271018	0.0006775072	0.0001238043	0.0005625460	0.0037310126	0.0440804583	0.0006069488	0.0000000000	0.0000000000	0.0446874071
USA	"United States of America"	0.0000213839	0.0000531246	0.0000049221	0.0000070624	0.0001466801	0.0015056725	0.0000060729	0.0018287714	0.0004651667	0.0038056835
URY	Uruguay	0.0000537820	0.0001843543	0.0000002876	0.0000112166	0.0004452114	0.0063314236	0.0000000000	0.0000000000	0.0000000000	0.0063314236
VEN	Venezuela	0.0000002204	0.0000000000	0.0000000000	0.0000000000	0.0000002204	0.0000043522	0.0000006142	0.0058962148	0.0000000000	0.0059011812
VNM	Vietnam	0.0000083397	0.0000075024	0.0000000000	0.0000000670	0.0000234785	0.0002605774	0.0000000000	0.0000000000	0.0000000000	0.0002605774
COD	Zaire	0.0000000987	0.0000000282	0.0000000000	0.0000000000	0.0000001551	0.0000027840	0.0000000000	0.0000000000	0.0000000000	0.0000027840
