ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
IDN	Indonesia	0.0000042722	0.0000030045	0.0000000041	0.0000000247	0.0000103347	0.0001611781	0.0000092810	0.0000000000	0.0000000000	0.0001704591
IRN	Iran	0.0000191359	0.0000348919	0.0000000130	0.0000000520	0.0000890367	0.0009551306	0.0000365572	0.0000000000	0.0000000000	0.0009916878
IRQ	Iraq	0.0000046846	0.0000052576	0.0000000000	0.0000000000	0.0000151997	0.0001614530	0.0000038758	0.0000000000	0.0000000000	0.0001653288
IRL	Ireland	0.0000002163	0.0000000000	0.0000000000	0.0000000000	0.0000002163	0.0000025179	0.0000000000	0.0000000000	0.0000000000	0.0000025179
ISR	Israel	0.0006563788	0.0008108529	0.0000247485	0.0000178135	0.0010730237	0.0283306588	0.0000000000	0.0000000000	0.0055904384	0.0339210972
ITA	Italy	0.0001168870	0.0001193232	0.0000566122	0.0000283558	0.0004460367	0.0049711308	0.0472377485	0.0005441469	0.0123081698	0.0650611959
CIV	"Ivory Coast"	0.0000683325	0.0000548939	0.0000001425	0.0000003324	0.0003310730	0.0037626958	0.0001916553	0.0000000000	0.0000000000	0.0039543511
JAM	Jamaica	0.0002627113	0.0005208567	0.0000442535	0.0000000000	0.0013486783	0.0167326337	0.0000000000	0.0000000000	0.0000000000	0.0167326337
JPN	Japan	0.0000253677	0.0000282823	0.0000003300	0.0000001021	0.0000473965	0.0009774989	0.0000009899	0.0000000000	0.0000000000	0.0009784888
JOR	Jordan	0.0003597580	0.0002573713	0.0000000000	0.0000000000	0.0008745007	0.0114011270	0.0005177331	0.0000000000	0.0000000000	0.0119188601
KEN	Kenya	0.0000076161	0.0000305394	0.0000000000	0.0000001748	0.0000137590	0.0022006743	0.0000906739	0.0000000000	0.0000000000	0.0022913483
KWT	Kuwait	0.0001943257	0.0005256116	0.0000000000	0.0000000000	0.0012455488	0.0144782965	0.0000000000	0.0000000000	0.0000000000	0.0144782965
LVA	Latvia	0.0000004509	0.0000009017	0.0000000000	0.0000000000	0.0000022543	0.0000314838	0.0000000000	0.0000000000	0.0000000000	0.0000314838
LBN	Lebanon	0.0004695476	0.0003301620	0.0000004848	0.0000000000	0.0011303566	0.0139874218	0.0009135308	0.0000000000	0.0079985514	0.0228995040
LBR	Liberia	0.0000105832	0.0000089550	0.0000008141	0.0000000000	0.0000293074	0.0004135600	0.0000253726	0.0000000000	0.0000000000	0.0004389326
LBY	Libya	0.0004421605	0.0006972115	0.0000052620	0.0000009286	0.0022169933	0.0280330929	0.0097102773	0.0000000000	0.0000000000	0.0377433701
MDG	Madagascar	0.0000024434	0.0000013157	0.0000000000	0.0000000000	0.0000050747	0.0000599520	0.0000000000	0.0000000000	0.0000000000	0.0000599520
MYS	Malaysia	0.0001656249	0.0002075705	0.0000319013	0.0000024403	0.0006175479	0.0074897567	0.0000000000	0.0000000000	0.0000000000	0.0074897567
MLT	Malta	0.0006277916	0.0048660050	0.0009875931	0.0000148883	0.0170272953	0.2406589578	0.0043783871	0.0000000000	0.7241215881	0.9691589330
MTQ	Martinique	0.0009794410	0.0008061908	0.0000023100	0.0000000000	0.0025941326	0.0341545161	0.0000000000	0.0000000000	0.0000000000	0.0341545161
MRT	Mauritania	0.0000071762	0.0000021840	0.0000000000	0.0000000000	0.0000115442	0.0001287776	0.0000000000	0.0000000000	0.0000000000	0.0001287776
MUS	Mauritius	0.0000370913	0.0000185457	0.0000000000	0.0000000000	0.0000741826	0.0009675961	0.0000000000	0.0000000000	0.0000000000	0.0009675961
MEX	Mexico	0.0000123590	0.0000220150	0.0000002134	0.0000001334	0.0001284089	0.0014144566	0.0000255106	0.0000000000	0.0000000000	0.0014399672
MAR	Morocco	0.0000766740	0.0000816380	0.0000000000	0.0000003794	0.0002407088	0.0030890292	0.0029176372	0.0000000000	0.0000952022	0.0061018686
MOZ	Mozambique	0.0000080230	0.0000104708	0.0000000000	0.0000000000	0.0000289645	0.0003360482	0.0000095905	0.0000000000	0.0000000000	0.0003456386
MMR	Myanmar	0.0000002247	0.0000002434	0.0000000000	0.0000000000	0.0000007114	0.0000065224	0.0000000000	0.0000000000	0.0000000000	0.0000065224
NAM	Namibia	0.0000023491	0.0000046982	0.0000000000	0.0000000000	0.0000117455	0.0001104831	0.0000000000	0.0000000000	0.0000000000	0.0001104831
NLD	Netherlands	0.0000040853	0.0000080505	0.0000007209	0.0000015020	0.0000239111	0.0002884223	0.0000047462	0.0023834184	0.0019872034	0.0046637903
NCL	"New Caledonia"	0.0000369525	0.0001293338	0.0000000000	0.0000000000	0.0002956202	0.0033880847	0.0000000000	0.0000000000	0.0000000000	0.0033880847
NZL	"New Zealand"	0.0002076535	0.0001817850	0.0000000000	0.0000000000	0.0001987171	0.0071213000	0.0000000000	0.0000000000	0.0000000000	0.0071213000
NIC	Nicaragua	0.0000003336	0.0000023349	0.0000000000	0.0000000000	0.0000050034	0.0000358210	0.0000000000	0.0000000000	0.0000000000	0.0000358210
NGA	Nigeria	0.0000190260	0.0000171688	0.0000000000	0.0000000000	0.0000533636	0.0007243010	0.0002080859	0.0000000000	0.0002123636	0.0011447505
OMN	Oman	0.0002527195	0.0002968612	0.0000006739	0.0000000000	0.0008471158	0.0103431493	0.0000862616	0.0000000000	0.0000000000	0.0104294109
PAK	Pakistan	0.0000060302	0.0000060248	0.0000000000	0.0000000163	0.0000181123	0.0002479807	0.0000000000	0.0000000000	0.0000000000	0.0002479807
PAN	Panama	0.0001905781	0.0003392289	0.0000008796	0.0000020524	0.0008740203	0.0090215576	0.0000055707	0.0000000000	0.0000000000	0.0090271283
PNG	"Papua New Guinea"	0.0000000000	0.0000004947	0.0000000000	0.0000000000	0.0000009894	0.0000102630	0.0000000000	0.0000000000	0.0000000000	0.0000102630
PRY	Paraguay	0.0000025095	0.0000034505	0.0000000000	0.0000000000	0.0000094105	0.0001114286	0.0000000000	0.0000000000	0.0000000000	0.0001114286
PER	Peru	0.0000051827	0.0000109005	0.0000000000	0.0000000000	0.0000269836	0.0002749012	0.0000000000	0.0000000000	0.0000000000	0.0002749012
PHL	Philippines	0.0000010110	0.0000011011	0.0000000000	0.0000000000	0.0000032132	0.0000401816	0.0000000000	0.0000000000	0.0000000000	0.0000401816
PRT	Portugal	0.0000046834	0.0000073998	0.0000003747	0.0000022480	0.0000243537	0.0002472583	0.0000476012	0.0027109404	0.0001409704	0.0031467703
PRI	"Puerto Rico"	0.0000132767	0.0000280854	0.0000000000	0.0000000000	0.0000694474	0.0009134557	0.0000000000	0.0000000000	0.0000000000	0.0009134557
QAT	Qatar	0.0006147984	0.0011606253	0.0000000000	0.0000000000	0.0029360491	0.0325099949	0.0008133890	0.0000000000	0.0000000000	0.0333233840
REU	Reunion	0.0001094024	0.0001158379	0.0000000000	0.0000000000	0.0003410782	0.0038317236	0.0000000000	0.0000000000	0.0000000000	0.0038317236
ROU	Romania	0.0000005465	0.0000001366	0.0000000000	0.0000000000	0.0000008197	0.0000151476	0.0000000000	0.0000000000	0.0000000000	0.0000151476
RUS	Russia	0.0000011585	0.0000025657	0.0000000000	0.0000000000	0.0000062899	0.0000848440	0.0000000000	0.0000000000	0.0000000000	0.0000848440
WSM	Samoa	0.0000000000	0.0000156249	0.0000000000	0.0000000000	0.0000312498	0.0003958834	0.0000000000	0.0000000000	0.0000000000	0.0003958834
STP	"Sao Tome and Principe"	0.0000113760	0.0000056880	0.0000000000	0.0000000000	0.0000227521	0.0002661995	0.0000000000	0.0000000000	0.0000000000	0.0002661995
SAU	"Saudi Arabia"	0.0002714543	0.0004478898	0.0000002332	0.0000069175	0.0011813021	0.0142366644	0.0013421817	0.0000000000	0.0000000000	0.0155788462
SEN	Senegal	0.0001418457	0.0001445235	0.0000004869	0.0000002434	0.0004318665	0.0053627825	0.0012823514	0.0000000000	0.0000000000	0.0066451339
SYC	Seychelles	0.0020149423	0.0003169572	0.0000000000	0.0000000000	0.0026488567	0.0448755943	0.0000000000	0.0000000000	0.0000000000	0.0448755943
SLE	"Sierra Leone"	0.0000015251	0.0000011438	0.0000000000	0.0000000000	0.0000038127	0.0000436243	0.0000407401	0.0000000000	0.0000000000	0.0000843644
SGP	Singapore	0.0043515634	0.0045830002	0.0000553066	0.0000718985	0.0137166674	0.1806709538	0.0003880224	0.0000000000	0.0000000000	0.1810589762
SVN	Slovenia	0.0000039860	0.0000059791	0.0000000000	0.0000000000	0.0000159442	0.0002214748	0.0000000000	0.0000000000	0.0000000000	0.0002214748
SOM	Somalia	0.0000002967	0.0000000000	0.0000000000	0.0000000000	0.0000002967	0.0000080544	0.0000000000	0.0000000000	0.0000000000	0.0000080544
ZAF	"South Africa"	0.0000587143	0.0000542449	0.0000000408	0.0000000000	0.0001672449	0.0020508488	0.0000748212	0.0000000000	0.0000000000	0.0021256700
KOR	"South Korea"	0.0001316120	0.0001891470	0.0000146832	0.0000117507	0.0005480907	0.0058737534	0.0000000000	0.0000000000	0.0000000000	0.0058737534
