ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ESP	Spain	0.0003039825	0.0001836539	0.0000786996	0.0003245390	0.0013990679	0.0131540687	0.0016956273	0.0033584295	0.0124591980	0.0306673235
LKA	"Sri Lanka"	0.0000769267	0.0000632612	0.0000000930	0.0000002789	0.0002040998	0.0021532556	0.0000000000	0.0000000000	0.0000000000	0.0021532556
SDN	Sudan	0.0000004571	0.0000000000	0.0000000000	0.0000000000	0.0000004571	0.0000101423	0.0000000000	0.0000000000	0.0000000000	0.0000101423
SWE	Sweden	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0025889783	0.0000000000	0.0000000000	0.0025889783
SYR	Syria	0.0000001351	0.0000000000	0.0000000000	0.0000000000	0.0000001351	0.0000012519	0.0000000000	0.0000000000	0.0000000000	0.0000012519
TWN	Taiwan	0.0001845868	0.0001827959	0.0000000000	0.0000084300	0.0005670386	0.0060914668	0.0000728563	0.0000000000	0.0000000000	0.0061643231
TZA	Tanzania	0.0000133674	0.0000009787	0.0000086172	0.0000199557	0.0000638533	0.0004010761	0.0000017423	0.0000000000	0.0000000000	0.0004028184
THA	Thailand	0.0000188852	0.0000087942	0.0000000000	0.0000000000	0.0000364737	0.0005403916	0.0000027575	0.0000000000	0.0000000000	0.0005431491
TGO	Togo	0.0000003036	0.0000226195	0.0000347642	0.0000238340	0.0001279747	0.0006025499	0.0000000000	0.0000000000	0.0000000000	0.0006025499
TTO	"Trinidad and Tobago"	0.0000008139	0.0000000000	0.0000000000	0.0000000000	0.0000008139	0.0000195330	0.0000000000	0.0000000000	0.0000000000	0.0000195330
TUN	Tunisia	0.0000710169	0.0000563791	0.0005227110	0.0004533940	0.0016132741	0.0057542805	0.0595505743	0.0024033374	0.0205555280	0.0882637202
TUR	Turkey	0.0000443678	0.0000813453	0.0000285718	0.0000720013	0.0003796328	0.0028697843	0.0000561959	0.0003687465	0.0107466414	0.0140413681
UKR	Ukraine	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003058134	0.0007710567	0.0074994062	0.0085762763
ARE	"United Arab Emirates"	0.0013767203	0.0009106452	0.0001077259	0.0004160308	0.0041377982	0.0568604566	0.0004101320	0.0000000000	0.0525469024	0.1098174911
USA	"United States"	0.0000194370	0.0000445536	0.0000098732	0.0000221930	0.0001628035	0.0013604529	0.0000145943	0.0007398346	0.0007566832	0.0028715651
URY	Uruguay	0.0000373886	0.0001449525	0.0000290480	0.0000652862	0.0004869140	0.0053256888	0.0000000000	0.0000000000	0.0000000000	0.0053256888
VEN	Venezuela	0.0000000000	0.0000000000	0.0000000735	0.0000000000	0.0000000735	0.0000001469	0.0000114039	0.0000000000	0.0000000000	0.0000115508
VNM	Vietnam	0.0000075024	0.0000092664	0.0000000000	0.0000000000	0.0000260352	0.0002790802	0.0000000000	0.0000000000	0.0000000000	0.0002790802
COD	Zaire	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000281881	0.0000000000	0.0000000000	0.0000281881
