ISO_A3	Nation	"Containers full 20'"	"Containers	full	40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
CRI	"Costa Rica"	0.0000544703	0.0001144763	0.0000000000	0.0000035428	0.0002905084	0.0040670472	0.0000000000	0.0000000000	0.0000000000	0.0040670472
HRV	Croatia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0008715654	0.0000000000	0.0000000000	0.0008715654
CUB	Cuba	0.0000082290	0.0000652193	0.0000645190	0.0001000613	0.0004033091	0.0023581161	0.0000000000	0.0000000000	0.0000000000	0.0023581161
CYP	Cyprus	0.0000063482	0.0000054413	0.0001151743	0.0006130535	0.0013585121	0.0027419725	0.0000000000	0.0000000000	0.0000000000	0.0027419725
DJI	Djibouti	0.0003632543	0.0000634682	0.0015340406	0.0024874144	0.0069990601	0.0211208219	0.0010338434	0.0000000000	0.0000000000	0.0221546653
DOM	"Dominican Republic"	0.0001047454	0.0000607707	0.0000379689	0.0003237030	0.0009116616	0.0055327474	0.0000000000	0.0000000000	0.0000000000	0.0055327474
ECU	Ecuador	0.0000001352	0.0000000000	0.0000000000	0.0000000000	0.0000001352	0.0000033670	0.0000000000	0.0000000000	0.0000000000	0.0000033670
EGY	Egypt	0.0000663834	0.0000550751	0.0000619720	0.0001521774	0.0005428605	0.0032116032	0.0000341851	0.0008868316	0.0053977745	0.0095303944
FIN	Finland	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0211321510	0.0000000000	0.0000000000	0.0211321510
FRA	France	0.0000138339	0.0000340444	0.0000016212	0.0000120275	0.0001075988	0.0011343004	0.0002244346	0.0015182098	0.0028712927	0.0057482375
GUF	"French Guiana"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0014966293	0.0000000000	0.0000000000	0.0014966293
GAB	Gabon	0.0000174728	0.0000362400	0.0000000000	0.0000000000	0.0000899528	0.0013324532	0.0000000000	0.0000000000	0.0000000000	0.0013324532
GEO	Georgia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0985170626	0.0985170626
DEU	Germany	0.0000023838	0.0000017726	0.0000000000	0.0000045720	0.0000150729	0.0001015263	0.0000022616	0.0000000000	0.0000641303	0.0001679181
GHA	Ghana	0.0000493841	0.0000229665	0.0000465903	0.0000500414	0.0002419901	0.0018316572	0.0000073049	0.0000000000	0.0000000000	0.0018389621
GIB	Gibraltar	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.4245804045	1.4245804045
GBR	"Great Britain"	0.0000004331	0.0000003529	0.0000003047	0.0000031597	0.0000077628	0.0000235002	0.0000006736	0.0000000000	0.0020726579	0.0020968317
GRC	Greece	0.0003365455	0.0001481818	0.0000269091	0.0000970000	0.0008538182	0.0106172555	0.0005436364	0.0000000000	0.0000000000	0.0111608918
GLP	Guadeloupe	0.0003995485	0.0000022573	0.0000270880	0.0000022573	0.0004356659	0.0084517156	0.0000000000	0.0000000000	0.0000000000	0.0084517156
GTM	Guatemala	0.0000005166	0.0000002214	0.0000000000	0.0000000000	0.0000009594	0.0000095680	0.0000558594	0.0000000000	0.0000000000	0.0000654274
HND	Honduras	0.0000002503	0.0000000000	0.0000000000	0.0000000000	0.0000002503	0.0000058452	0.0000000000	0.0000000000	0.0000000000	0.0000058452
IND	India	0.0000054539	0.0000032145	0.0000000315	0.0000006521	0.0000132187	0.0001573658	0.0000033575	0.0000000000	0.0000000000	0.0001607234
IDN	Indonesia	0.0000025312	0.0000026876	0.0000000000	0.0000000000	0.0000079064	0.0001032126	0.0000000000	0.0000000000	0.0008681995	0.0009714121
IRN	Iran	0.0000109980	0.0000016640	0.0000009360	0.0000158600	0.0000469819	0.0003623941	0.0000003341	0.0000000000	0.0012770903	0.0016398185
ISR	Israel	0.0003908085	0.0004435690	0.0002451732	0.0006036183	0.0027303564	0.0194255128	0.0000000000	0.0000000000	0.0030855380	0.0225110508
ITA	Italy	0.0003870380	0.0002331940	0.0000302617	0.0002181460	0.0013199796	0.0141916870	0.0464022463	0.0500796913	0.0322981837	0.1429718083
