"locode"	"lon"	"lat"
"FRLIO"	4.8323	45.7576
"FRMRS"	5.3700	43.2962
"FRPDB"	4.9844	43.4019
"FRPJE"	0.5428	49.4720
"FRPSL"	4.8026	43.3891
"FRSET"	3.6942	43.4017
"FRSWD"	0.7670	49.5275
"GACLZ"	8.7122	0.6288
"GALBV"	9.4580	0.3854
"GAOWE"	9.5001	0.3204
"GAPOG"	8.7800	0.7200
"GBBEL"	5.9302	54.5969
"GBBRS"	2.5953	51.4557
"GBFAW"	1.3497	50.8296
"GBFXT"	1.3515	51.9639
"GBGOO"	0.8796	53.7064
"GBGTN"	2.8998	53.3513
"GBHOP"	3.3128	56.0367
"GBHRW"	1.2899	51.9446
"GBHUL"	0.3312	53.7420
"GBLON"	0.1276	51.5073
"GBMME"	1.2003	54.6957
"GBSOU"	1.4042	50.9035
"GBSWD"	1.6809	52.3256
"GBTHP"	0.6838	51.4359
"GBTIL"	0.3644	51.4631
"GDSTG"	61.7518	12.0535
"GEBUS"	41.6471	41.6515
"GEKLV"	41.6649	42.2703
"GEPTI"	41.6769	42.1491
"GESPA"	41.8127	42.0438
"GFCAY"	52.3258	4.9371
"GHTEM"	16.5917	13.4539
"GHTKD"	1.7434	4.8848
"GIGIB"	5.3485	36.1451
"GMBJL"	0.0222	5.6232
"GNCKY"	13.6822	9.5335
"GPPTP"	61.5334	16.2409
"GQBSG"	9.7722	1.8653
"GQSSG"	8.7886	3.7522
"GR020"	24.3035	40.8384
"GRAGT"	23.1439	37.9258
"GRAXD"	25.8761	40.8492
"GREEU"	23.5349	38.0476
"GRHER"	25.1329	35.3340
"GRPIR"	23.6486	37.9442
"GRSKG"	22.9353	40.6403
"GRSMI"	26.9746	37.7566
"GRVOL"	22.9400	39.3627
"GTGUA"	90.5349	14.6166
"GTPBR"	88.5985	15.7309
"GTSTC"	88.6111	15.6867
"GUGUM"	144.8970	13.5395
"GYGEO"	58.1670	6.8020
"HK002"	114.1265	22.3620
"HKHKG"	114.1849	22.3506
"HKWNI"	114.1728	22.2788
"HNPCR"	87.9438	15.8453
"HNSAP"	88.0248	15.5064
"HNTGU"	87.2013	14.0932
"HRPLE"	17.4360	43.0534
"HRRJK"	14.4414	45.3271
"HRSPU"	16.4397	43.5116
"HTCAP"	72.2005	19.7594
"HTPAP"	72.3396	18.5473
"IDBLW"	98.6918	3.7828
"IDBPN"	116.8619	1.2371
"IDBTH"	104.0285	1.1069
"IDDJB"	103.6106	1.5916
"IDDUM"	101.4533	1.6815
"IDJKT"	106.8271	6.1753
"IDMAK"	119.4126	5.1347
"IDPDG"	100.3587	0.9430
"IDPLM"	104.7569	2.9888
"IDPNJ"	105.3155	5.4615
"IDSRG"	110.4099	6.9834
"IDSUB"	112.7559	7.2387
"IDTPP"	106.8815	-6.1107
"IEORK"	8.4706	51.8979
"ILASH"	34.6463	31.7981
"ILHFA"	34.9984	32.8191
"IN007"	69.7238	22.8396
"INAMD"	72.5797	23.0216
"INBLR"	77.5904	12.9794
"INBOM"	72.8327	18.9524
"INCCU"	88.3463	22.5687
"INCLC"	75.7773	11.2466
"INCOK"	76.2538	9.9622
"INDEL"	77.2495	28.6314
"INGOA"	73.8283	15.4993
"INHAL"	88.0608	22.0355
"INHYD"	78.4565	17.3827
"INHZA"	72.8058	21.1888
"INHZR"	72.6572	21.1140
"INIXY"	70.2096	23.0178
"INJAI"	75.8204	26.9161
"INKNU"	80.3221	26.4610
"INLUH"	75.8515	30.9090
"INMAA"	80.2818	13.0804
"INMRM"	73.7930	15.4082
"INNAG"	79.0798	21.1444
"INNSA"	72.9530	18.9537
"INPAV"	71.5519	21.0125
"INTUT"	78.1452	8.8054
"INVIZ"	83.2997	17.7239
"INVTZ"	83.3151	17.7119
"IQBSR"	47.8254	30.5027
"IQUQR"	47.9339	30.0470
"IRBKM"	49.0795	30.4328
"IRBND"	56.2766	27.1781
"IRBUZ"	50.8405	28.9682
"IRKHK"	50.3157	29.2340
"IRKHO"	48.1780	30.4332
"IRSRP"	56.0629	27.1060
"IT023"	10.9228	42.3599
"IT099"	16.5177	39.5962
"IT888"	12.5081	41.8977
"ITAOI"	13.5175	43.6171
"ITASS"	9.0015	39.2915
"ITATX"	9.7077	39.9354
"ITAUG"	15.2197	37.2369
"ITBDS"	17.9416	40.6327
"ITBRI"	16.8620	41.1258
"ITCAG"	9.1169	39.2225
"ITCTA"	15.0871	37.5026
"ITCVV"	11.7988	42.0988
"ITFCO"	12.2339	41.7677
"ITFOL"	10.7599	42.9237
"ITGAE"	13.5628	41.2183
"ITGEA"	14.2502	37.0664
"ITGIT"	15.8990	38.4240
"ITGOA"	8.8323	44.4211
"ITLIV"	10.3160	43.5426
"ITMAZ"	12.5890	37.6539
"ITMDC"	10.0450	44.0388
"ITMLZ"	15.2412	38.2208
"ITNAP"	14.2493	40.8516
"ITOLB"	9.4994	40.9241
"ITORI"	8.5949	39.9024
"ITPEM"	13.5264	37.2934
"ITPFX"	9.0293	39.0797
"ITPIO"	10.5225	42.9348
"ITPMA"	12.2243	45.4756
"ITPMO"	13.3357	38.1111
"ITPRI"	15.2032	37.1723
"ITPSS"	11.1237	42.4338
"ITPTO"	8.4031	40.8344
"ITPVE"	8.4009	39.1964
"ITRAN"	12.2037	44.4168
"ITSAL"	14.7658	40.6780
"ITSAT"	8.4596	39.0656
"ITSPA"	15.2797	37.1086
"ITSPE"	9.8282	44.1070
"ITSVN"	8.4810	44.3079
"ITTAR"	17.2432	40.4712
"ITTPS"	12.5437	38.0161
"ITTRI"	13.7101	37.9872
"ITTRS"	13.7707	45.6500
"ITVCE"	12.3186	45.4384
"ITVDL"	8.4382	44.2714
"JMKIN"	76.7928	17.9712
"JMMBJ"	77.9218	18.4721
"JOAQB"	35.0028	29.5292
"JOAQJ"	35.0028	29.5292
"JPAXT"	140.2648	39.6570
"JPFKY"	133.3627	34.4859
"JPHHE"	141.4886	40.5129
"JPHHR"	134.8184	34.7154
"JPHIJ"	132.4518	34.3916
"JPHKT"	130.4207	33.5901
"JPIMB"	132.9934	34.0646
"JPISS"	141.3156	43.1714
"JPKIJ"	139.0255	37.8476
"JPKMJ"	130.7333	32.7833
"JPKNZ"	136.6569	36.5616
"JPMOJ"	130.9408	33.9066
"JPNAH"	127.6792	26.2126
"JPNGO"	136.9000	35.1833
"JPNGS"	129.8667	32.7833
"JPOIT"	131.6076	33.2405
"JPOMZ"	138.1418	34.6449
"JPOSA"	135.5021	34.6938
"JPSDJ"	140.7697	38.2968
"JPSKT"	139.8363	38.9144
"JPSMZ"	138.5010	35.0195
"JPTKS"	134.5550	34.0698
"JPTKY"	131.8021	34.0510
"JPTMK"	141.6055	42.6341
"JPTYO"	139.7685	35.6801
"JPUKB"	135.1343	34.7253
"JPYKK"	136.6249	34.9654
"JPYOK"	139.6421	35.4450
"KEMBA"	43.2402	11.7042
"KHKOS"	103.5078	10.6460
"KHPNH"	104.9147	11.5520
"KHSIH"	103.5060	10.6221
"KMYVA"	43.1480	11.5950
"KNBAS"	-62.7223	17.2961
"KR002"	129.0752	35.1800
"KR007"	127.6967	34.9436
"KRINC"	126.6403	37.4781
"KRKWY"	127.6032	34.8981
"KRMAS"	128.5677	35.1969
"KRPTK"	127.1139	36.9931
"KRPUS"	129.0081	35.0970
"KRSEL"	126.9978	37.5683
"KRUSN"	129.3199	35.5451
"KWKWI"	47.9736	29.3797
"KWSAA"	48.1604	29.0574
"KWSWK"	47.9345	29.3486
"KYGEC"	81.3717	19.2870
"LBBEY"	35.4784	33.8959
"LBKYE"	35.8172 34.4497
"LKCMB"	79.8533	6.9343
"LRMLW"	10.7997	6.3146
"LVRIX"	24.1052	56.9494
"LVVNT"	21.5655	57.3892
"LY001"	23.9847	32.0634
"LYABK"	11.7362	33.0743
"LYBEN"	14.2600	32.6604
"LYBOT"	12.6497	33.9036
"LYESI"	18.3655	30.6380
"LYKHO"	20.0648	32.1187
"LYMBR"	19.5988	30.3810
"LYMRA"	15.1000	32.3800
"LYMTH"	12.2422	32.8591
"LYRLA"	18.4178	30.5869
"LYTIP"	13.1800	32.8925
"LYZAW"	12.7224	32.7706
"LYZUA"	12.0789	32.9313
"MA003"	5.8327	35.7473
"MAAGA"	7.6183	33.6019
"MACAS"	5.4973	35.8935
"MAMOH"	7.3881	33.7070
"MAPTM"	9.6200	30.4400
"MATNG"	8.6459	33.1300
"MDGIU"	28.1982	45.4825
"MGDIE"	49.2916	12.2787
"MGMJN"	46.3176	15.7178
"MGNOS"	48.2666	13.4000
"MGPSL"	48.8434	13.0911
"MGTLE"	49.4050	18.1818
"MGTMM"	49.4107	18.1554
"MLMKO"	8.0001	12.6483
"MMRGN"	96.1647	16.7853
"MPSPN"	145.7457	15.1752
"MQFDF"	61.0768	14.6037
"MRNDB"	17.0501	20.9131
"MRNKC"	15.9763	18.0790
"MT001"	14.5441	35.8419
"MTMLA"	14.5134	35.8988
"MUPLU"	57.5046	20.1639
"MXATM"	97.9300	22.4062
"MXCJS"	106.4952	31.7435
"MXCOA"	94.4464	18.1413
"MXESE"	116.6248	31.8607
"MXGDL"	103.3470	20.6761
"MXLEN"	102.1985	17.9598
"MXLZC"	102.1985	17.9598
"MXMEX"	99.1332	19.4325
"MXMTY"	100.3061	25.6765
"MXMZT"	106.4162	23.2234
"MXNLD"	99.5046	27.4934
"MXPGO"	89.6638	21.2839
"MXTAM"	97.8520	22.2324
"MXVER"	96.1386	19.2002
"MXZLO"	104.3160	19.0506
"MYBKI"	116.1100	5.9800
"MYBTU"	113.0360	3.1664
"MYKCH"	110.3449	1.5600
"MYKIM"	115.8870	5.6165
"MYKUA"	103.3200	3.8300
"MYLBU"	115.2422	5.2699
"MYMKZ"	102.2559	2.1908
"MYPEN"	100.2878	5.3805
"MYPGU"	103.8787	1.4537
"MYPKG"	101.3018	2.9422
"MYSBW"	111.8430	2.3030
"MYSDK"	118.1080	5.8430
"MYTPP"	103.5457	1.3570
"MYTWU"	117.8959	4.2615
"MYWSP"	101.3187	2.9553
"MZBEW"	34.8341	19.8285
"MZMNC"	32.5872	25.9533
"MZMPM"	40.6670	14.5436
"NALUD"	15.1573	26.6500
"NAWVB"	14.5053	22.9575
"NCNOU"	166.4424	22.2745
"NGABF"	4.4670	5.7000
"NGAPP"	3.3745	6.4513
"NGBON"	7.1663	4.4425
"NGBRA"	6.2433	4.3017
"NGCBQ"	8.3374	4.9796
"NGFOR"	5.4383	5.3589
"NGHBR"	4.3037	6.2439
"NGLOS"	3.3896	6.4452
"NGONN"	7.1569	4.7223
"NGTIN"	3.3495	6.4317
"NGWAR"	5.7500	5.5191
"NICIO"	87.1743	12.4817
"NIMGA"	86.2739	12.1351
"NLAMS"	4.9001	52.3710
"NLIJM"	4.6104	52.4573
"NLRTM"	4.4632	51.9229
"NLSCI"	4.4022	51.9171
"NLVLI"	3.5714	51.4612
"NOMON"	5.0305	60.8154
"NOSOV"	6.2804	62.5463
"NZAKL"	174.7656	36.8535
"NZBLU"	168.3363	46.5938
"NZCHC"	172.6366	43.5310
"NZLYT"	172.7206	43.6025
"NZNPE"	176.9179	39.4909
"NZNPL"	174.0806	39.0580
"NZNSN"	173.2837	41.2711
"NZPOE"	170.6198	45.8162
"NZTIU"	171.2497	-44.3919
"NZTRG"	176.1684	37.6865
"NZWLG"	174.7772	41.2888
"OMMCT"	58.5938	23.6124
"OMOPQ"	58.5692	23.6296
"OMSLL"	54.0957	17.0148
"OMSOH"	56.7425	24.3446
"PABLB"	79.5593	8.9509
"PACTB"	79.9046	9.3530
"PAMAN"	104.3160	19.0506
